Student Name,Roll Number,Class,Subject,Marks Obtained,Max Marks,Percentage,Result
Kunal,3431,10th,English,99,100,99.0,Pass
Kunal,3431,10th,Mathematics,82,100,82.0,Pass
Kunal,3431,10th,Science,88,100,88.0,Pass
Kunal,3431,10th,Social Science,67,100,67.0,Pass
Kunal,3431,10th,Hindi,77,100,77.0,Pass
Neha,3083,10th,English,73,100,73.0,Pass
Neha,3083,10th,Mathematics,68,100,68.0,Pass
Neha,3083,10th,Science,64,100,64.0,Pass
Neha,3083,10th,Social Science,73,100,73.0,Pass
Neha,3083,10th,Hindi,77,100,77.0,Pass
Aarav,2798,10th,English,82,100,82.0,Pass
Aarav,2798,10th,Mathematics,44,100,44.0,Pass
Aarav,2798,10th,Science,53,100,53.0,Pass
Aarav,2798,10th,Social Science,96,100,96.0,Pass
Aarav,2798,10th,Hindi,46,100,46.0,Pass
Tanya,5069,10th,English,55,100,55.0,Pass
Tanya,5069,10th,Mathematics,100,100,100.0,Pass
Tanya,5069,10th,Science,99,100,99.0,Pass
Tanya,5069,10th,Social Science,90,100,90.0,Pass
Tanya,5069,10th,Hindi,93,100,93.0,Pass
Diya,2810,10th,English,98,100,98.0,Pass
Diya,2810,10th,Mathematics,89,100,89.0,Pass
Diya,2810,10th,Science,62,100,62.0,Pass
Diya,2810,10th,Social Science,93,100,93.0,Pass
Diya,2810,10th,Hindi,54,100,54.0,Pass
Rohan,7197,10th,English,77,100,77.0,Pass
Rohan,7197,10th,Mathematics,96,100,96.0,Pass
Rohan,7197,10th,Science,65,100,65.0,Pass
Rohan,7197,10th,Social Science,50,100,50.0,Pass
Rohan,7197,10th,Hindi,48,100,48.0,Pass
